track_name,album,artist,popularity,duration_min
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,85,4.06
Pray,Fifty Shades Darker (Original Motion Picture Soundtrack),JRY,54,3.35
Death Grip,Death Grip,Watt White,0,2.96
Canzoni preferite,JOJO'S BIZARRE ADVENTURE -Golden Wind O.S.T vol.1 Overture,Yugo Kanno,59,2.41
Heat Waves,Dreamland,Glass Animals,86,3.98
Jocelyn Flores,17,XXXTENTACION,79,1.99
Everyday Normal Guy 2,You Want Some of This?,Jon Lajoie,71,3.26
Starboy,Starboy,The Weeknd,90,3.84
SAD!,?,XXXTENTACION,80,2.78
Hope,?,XXXTENTACION,82,1.85
After Hours,After Hours,The Weeknd,82,6.02
Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix],Internet Money,0,3.02
Models & Bottles,Livin Legend,Twista,23,4.28
No Idea,No Idea,Scott Rill,36,2.69
Hellogoodbye,Hellogoodbye,HOKO,17,3.58
Sunflower - Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),Post Malone,82,2.63
Levitating,Future Nostalgia,Dua Lipa,80,3.4
Ecstasy (Over & Over),Ecstasy (Over & Over),Prospa,48,3.61
Why Do We Shake In The Cold? - Edit,Why Do We Shake In The Cold?,Elderbrook,39,4.07
MYNE - Soft Glas Rework,MYNE Remixes,Treasure Fingers,0,4.22
Pepper,Electriclarryland,Butthole Surfers,68,4.95
Call on Me - Ryan Riback Remix,Call on Me (Remixes),Starley,2,3.7
Over It,Over It,honorscouts,17,3.3
On & On,On & On,Cartoon,2,3.45
Older,Loser,Sasha Alex Sloan,59,3.08
I'm a Wanted Man,Born for This,Royal Deluxe,0,3.82
Hollow (feat. Sabelle),Hollow (feat. Sabelle),My Buddy Mike,38,3.88
Crazy World (Judgement Day),Crazy World (Judgement Day),Jamestown Revival,0,4.68
Dirty Paws,My Head Is An Animal,Of Monsters and Men,45,4.64
Blinding Lights,Blinding Lights,The Weeknd,22,3.36
Midnight Moon,Oh Wonder,Oh Wonder,41,3.51
Glitter,FIRE ON MARZZ,BENEE,63,3.0
Shadow Preachers,Kicker,Zella Day,46,2.62
Up All Night,Up All Night,Khalid,54,2.62
talk is overrated,idle,Jeremy Zucker,56,3.16
stupid,stupid,Tate McRae,1,2.88
Say So,Hot Pink,Doja Cat,78,3.96
Rare,Rare,Selena Gomez,58,3.68
FML,Living Facts,Arizona Zervas,61,3.72
Strict Machine,Black Cherry,Goldfrapp,54,3.86
me & ur ghost,me & ur ghost,blackbear,0,3.34
Wasted Times,"My Dear Melancholy,",The Weeknd,67,3.67
